"","CCA.NUM","COMMUNITY.AREA","CCA","Population  1990","Index Total  1990","Population  2013 - 2017","Index Total  2013 - 2017","change","type"
"1","1","1. Rogers Park","ROGERS PARK","60378","3","55062","5","2","2 - Middle Class"
"2","2","2. West Ridge","WEST RIDGE","65374","11","76215","7","-4","2 - Middle Class"
"3","3","3. Uptown","UPTOWN","63839","-1","57973","7","8","6 - Gentrification"
"4","4","4. Lincoln Square","LINCOLN SQUARE","44891","5","41715","11","6","5 - Not Gentrification"
"5","5","5. North Center","NORTH CENTER","33010","7","35789","13","6","5 - Not Gentrification"
"6","6","6. Lake View","LAKE VIEW","91031","11","100470","11","0","1 - Upper Class"
"7","7","7. Lincoln Park","LINCOLN PARK","61092","11","67710","11","0","1 - Upper Class"
"8","8","8. Near North Side","NEAR NORTH SIDE","62842","7","88893","9","2","1 - Upper Class"
"9","9","9. Edison Park","EDISON PARK","11426","11","11753","11","0","1 - Upper Class"
"10","10","10. Norwood Park","NORWOOD PARK","37719","9","36936","11","2","1 - Upper Class"
