"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,1,704,3.820,8,10,686,78,608,2199.640,75,74,291,191,55,86,600,620,66,51,15,443,243,410,210,33,33,31,20,2,13,280,66,340,277,64,279,3,2,61,106,580,105,515,1,65
2010,2,490,3.930,38,3,449,74,375,2598.700,73,41,139,128,68,71,378,400,49,45,4,295,154,266,134,29,20,27,18,2,2,189,34,226,183,34,183,6,0,43,79,370,76,324,3,46
2010,3,535,2.440,3,1,531,64,467,1880,64,132,168,122,45,25,506,476,55,31,24,323,208,301,175,22,33,19,12,3,21,201,59,271,200,58,218,1,1,53,82,449,80,396,2,53
2010,4,168,1.490,10,2,156,25,131,2355,25,17,56,45,13,16,140,141,15,12,3,90,66,84,57,6,9,5,7,1,2,52,14,90,52,14,75,0,0,15,28,128,28,113,0,15
2010,5,63,0.850,2,1,60,12,48,2255,12,9,18,14,7,8,52,52,8,6,2,36,24,32,20,4,4,4,2,0,2,22,6,32,21,6,25,1,0,7,8,52,8,44,0,8
2010,6,569,1.620,6,8,555,45,510,1900,44,95,218,140,58,20,535,500,55,48,7,285,270,259,241,26,29,25,23,1,6,169,89,297,164,88,248,5,1,49,95,460,93,407,2,53
2010,7,251,1.380,6,2,243,33,210,2408.440,31,20,89,61,42,14,229,210,33,22,11,111,132,101,109,10,23,10,12,0,11,63,38,142,61,37,112,2,1,30,39,204,37,173,2,31
2010,8,1051,3.820,13,7,1031,121,910,2604.950,114,120,316,282,199,23,1008,913,118,83,35,516,515,468,445,48,70,41,42,7,28,274,156,601,267,153,493,7,3,108,198,833,192,721,6,112
2010,9,17,1.870,1,0,16,4,12,2499,4,1,5,3,3,2,14,15,1,1,0,5,11,5,10,0,1,0,1,0,0,4,4,8,4,4,7,0,0,1,1,15,1,14,0,1
2010,10,64,1.840,3,0,61,5,56,2487.080,4,7,22,16,12,12,49,54,7,7,0,44,17,42,12,2,5,2,5,0,0,25,3,33,25,3,26,0,0,7,11,50,11,43,0,7
