"","FamIncome","Deficit","TVPrograms"
"1",4,2,4
"2",3,1,3
"3",2,3,1
"4",5,2,4
"5",7,2,4
"6",4,1,3
"7",6,2,4
"8",3,2,4
"9",2,1,2
"10",4,4,3
"11",4,1,4
"12",6,3,3
"13",5,1,2
"14",5,2,4
"15",4,2,4
"16",3,3,2
"17",3,1,3
"18",4,1,2
"19",3,3,3
"20",3,2,4
"21",3,2,2
"22",4,3,4
"23",6,2,4
"24",5,2,3
"25",3,1,4
"26",4,1,4
"27",2,4,1
"28",5,3,2
"29",5,2,4
"30",2,2,3
"31",5,1,3
"32",4,1,3
"33",4,2,3
"34",3,1,1
"35",3,1,4
"36",4,2,1
"37",5,2,4
"38",7,1,4
"39",6,2,2
"40",3,2,2
"41",4,1,4
"42",3,3,4
"43",3,1,3
"44",3,2,4
"45",2,2,4
"46",5,1,2
"47",6,3,3
"48",3,3,2
"49",2,4,2
"50",3,3,3
"51",2,1,3
"52",3,2,3
"53",5,3,1
"54",2,1,4
"55",2,3,3
"56",4,1,3
"57",4,1,4
"58",4,1,3
"59",2,2,2
"60",2,3,1
"61",3,3,4
"62",3,1,4
"63",2,1,3
"64",6,2,4
"65",3,3,3
"66",5,2,4
"67",4,1,4
"68",4,2,4
"69",3,2,2
"70",4,1,2
"71",5,3,1
"72",4,2,2
"73",3,2,2
"74",3,2,3
"75",5,2,3
"76",4,2,2
"77",3,3,3
"78",3,1,2
"79",6,3,4
"80",5,3,1
"81",3,1,2
"82",2,3,3
"83",5,1,4
"84",5,1,4
"85",2,1,3
"86",4,1,4
"87",4,2,4
"88",3,1,3
"89",3,2,2
"90",3,1,2
"91",2,2,4
"92",5,1,4
"93",5,3,2
"94",3,1,3
"95",3,1,2
"96",2,1,1
"97",2,2,1
"98",2,1,4
"99",4,1,4
"100",6,3,2
"101",5,2,3
"102",3,2,2
"103",5,1,4
"104",4,1,2
"105",4,2,4
"106",4,1,2
"107",2,5,4
"108",5,1,4
"109",3,2,3
"110",4,5,4
"111",2,1,1
"112",5,1,3
"113",4,2,3
"114",3,1,4
"115",4,3,3
"116",3,2,4
"117",2,2,2
"118",6,3,4
"119",3,1,4
"120",6,3,4
"121",4,2,4
"122",4,2,3
"123",3,2,1
"124",3,2,4
"125",5,1,4
"126",3,2,2
"127",2,2,4
"128",6,2,4
"129",6,1,3
"130",2,1,2
"131",5,3,3
"132",3,2,4
"133",3,2,1
"134",4,3,3
"135",3,3,2
"136",4,2,4
"137",7,1,2
"138",2,1,4
"139",3,1,2
"140",3,1,4
"141",4,1,4
"142",2,1,3
"143",4,1,4
"144",2,3,3
"145",4,2,3
"146",2,2,1
"147",2,2,2
"148",2,3,2
"149",4,2,4
"150",2,1,4
"151",6,1,3
"152",6,3,3
"153",3,1,4
"154",5,1,3
"155",3,1,2
"156",5,1,4
"157",2,2,4
"158",4,1,2
"159",5,1,3
"160",3,4,4
"161",6,1,4
"162",4,4,2
"163",3,2,1
"164",5,1,4
"165",4,2,4
"166",6,1,4
"167",4,3,3
"168",6,2,2
"169",4,2,2
"170",4,1,4
"171",6,2,4
"172",6,1,3
"173",2,2,2
"174",4,1,4
"175",6,1,3
"176",3,1,2
"177",6,1,4
"178",4,1,3
"179",6,2,4
"180",5,1,4
"181",2,1,3
"182",2,1,3
"183",2,2,2
"184",2,2,4
"185",4,1,4
"186",6,2,2
"187",4,1,3
"188",3,5,1
"189",5,1,2
"190",5,2,3
"191",2,1,4
"192",6,2,4
"193",4,3,3
"194",3,2,4
"195",5,1,2
"196",7,2,3
"197",2,2,3
"198",3,4,2
"199",4,2,3
"200",5,2,3
"201",3,1,2
"202",4,4,2
"203",6,1,3
"204",3,1,4
"205",2,1,3
"206",2,1,3
"207",5,3,3
"208",4,1,2
"209",6,2,4
"210",2,2,2
"211",3,1,2
"212",4,1,3
"213",4,3,2
"214",3,2,1
"215",2,1,2
"216",2,1,2
"217",3,2,3
"218",4,1,3
"219",3,1,1
"220",2,2,2
"221",6,3,4
"222",3,3,3
"223",3,1,4
"224",3,2,4
"225",4,1,2
"226",2,2,1
"227",2,3,3
"228",3,3,2
"229",4,2,2
"230",3,3,2
"231",4,3,2
"232",6,2,3
"233",4,1,3
"234",3,1,2
"235",5,2,3
"236",6,3,4
"237",3,2,2
"238",3,1,4
"239",3,3,4
"240",5,3,1
"241",4,1,2
"242",6,1,2
"243",2,1,4
"244",4,2,3
"245",3,1,3
"246",5,2,3
"247",2,2,4
"248",2,1,4
"249",3,2,2
"250",6,2,2
"251",6,2,2
"252",4,1,2
"253",2,3,4
"254",2,1,1
"255",4,2,3
"256",2,1,4
"257",5,1,4
"258",3,1,4
"259",6,3,3
"260",3,1,3
"261",6,1,3
"262",5,2,3
"263",5,2,3
"264",3,1,4
"265",7,1,4
"266",3,1,4
"267",4,3,2
"268",4,2,4
"269",6,3,3
"270",2,4,2
"271",3,2,2
"272",2,1,3
"273",5,2,3
"274",3,1,4
"275",6,1,1
"276",6,1,3
"277",3,2,4
"278",4,1,4
"279",2,3,4
"280",4,1,3
"281",5,1,4
"282",6,3,4
"283",5,1,2
"284",2,2,4
"285",3,1,1
"286",4,1,1
"287",3,1,1
"288",4,2,4
"289",6,3,3
"290",6,1,4
"291",4,1,4
"292",6,1,2
"293",6,2,3
"294",2,1,4
"295",3,1,4
"296",4,1,2
"297",3,1,4
"298",6,1,4
"299",6,1,4
"300",7,2,2
"301",3,3,2
"302",4,2,2
"303",4,2,3
"304",3,1,2
"305",6,1,4
"306",4,2,4
"307",2,4,1
"308",4,3,3
"309",3,3,3
"310",3,2,3
"311",4,1,4
"312",3,4,3
"313",3,2,2
"314",2,3,4
"315",6,2,4
"316",5,1,2
"317",5,3,2
"318",2,1,2
"319",2,2,3
"320",5,1,3
"321",4,1,4
"322",3,2,4
"323",4,2,1
"324",3,1,2
"325",6,1,4
"326",4,1,3
"327",6,3,2
"328",5,2,3
"329",6,3,3
"330",5,1,4
"331",6,3,1
"332",4,2,3
"333",2,3,3
"334",6,4,4
"335",4,2,3
"336",5,1,4
"337",5,1,4
"338",2,2,4
"339",3,2,3
"340",3,1,1
"341",3,3,1
"342",5,2,3
